,a(p(Raf)),a(p(Mek)),a(p(Erk))
946,53,66,79
947,46,64,86
948,41,61,80
949,40,54,87
950,36,48,77
951,52,57,83
952,42,55,86
953,49,62,83
954,49,68,85
955,45,61,87
956,48,61,85
957,49,64,77
958,46,65,77
959,57,65,92
960,48,61,85
961,45,56,82
962,59,64,89
963,51,65,88
964,49,63,83
965,46,62,84
966,48,61,89
967,54,71,88
968,44,63,82
969,44,69,86
970,51,52,87
971,50,63,85
972,51,62,87
973,54,65,89
974,52,68,83
975,54,67,86
976,44,52,85
977,43,68,91
978,43,57,82
979,48,66,80
980,49,62,84
981,59,75,88
982,48,71,84
983,50,59,85
984,51,64,85
985,54,71,92
986,49,61,82
987,46,60,78
988,54,64,85
989,48,60,88
990,41,58,83
991,34,48,79
992,47,62,79
993,49,60,82
994,51,58,88
995,49,60,85
996,49,65,84
997,40,58,81
998,41,59,83
999,49,60,84
1000,54,74,85
1001,44,68,90
1002,51,66,84
1003,49,60,84
1004,46,61,84
1005,58,72,86
1006,45,63,81
1007,50,62,80
1008,42,55,89
1009,59,68,85
1010,57,60,77
1011,47,59,87
1012,54,69,82
1013,51,59,88
1014,57,70,81
1015,54,61,88
1016,55,73,82
1017,46,56,83
1018,56,68,92
1019,52,60,87
1020,43,59,79
1021,51,60,88
1022,42,60,88
1023,45,64,85
1024,54,66,83
1025,49,61,86
1026,41,61,82
1027,54,71,86
1028,57,74,91
1029,61,76,83
1030,52,64,76
1031,50,62,83
1032,56,64,83
1033,48,60,79
1034,45,65,80
1035,48,61,87
1036,52,64,92
1037,46,64,83
1038,47,61,86
1039,45,61,84
1040,50,61,80
1041,46,57,79
1042,48,70,82
1043,48,61,75
1044,47,59,82
1045,41,64,83
1046,50,60,84
1047,43,55,86
1048,47,55,81
1049,47,71,87
1050,48,62,76
1051,49,65,92
1052,48,67,86
1053,48,66,87
1054,52,67,86
1055,52,65,87
1056,53,65,84
1057,47,60,83
1058,54,68,84
1059,50,60,77
1060,51,70,83
1061,45,52,83
1062,49,70,90
1063,58,68,86
1064,58,67,87
1065,32,47,81
1066,53,63,86
1067,47,67,85
1068,49,69,84
1069,55,62,90
1070,43,59,77
1071,50,68,90
1072,57,70,85
1073,48,61,87
1074,49,67,86
1075,45,58,91
1076,47,66,86
1077,54,65,83
1078,45,69,85
1079,49,70,84
1080,40,61,82
1081,44,67,84
1082,50,58,82
1083,46,56,87
1084,50,59,79
1085,48,65,83
1086,44,61,83
1087,49,63,81
1088,41,67,80
1089,51,65,88
1090,50,68,82
1091,48,65,85
1092,51,63,83
1093,51,69,87
1094,45,57,83
1095,49,59,86
1096,62,70,89
1097,54,67,85
1098,54,63,85
1099,62,74,81
1100,48,68,86
1101,42,51,82
1102,39,58,75
1103,44,56,88
1104,41,63,88
1105,53,72,82
1106,45,57,88
1107,55,69,86
1108,41,59,78
1109,42,54,82
1110,53,63,86
1111,45,57,78
1112,45,67,81
1113,52,63,87
1114,52,69,87
1115,54,71,84
1116,48,63,83
1117,51,60,91
1118,51,67,89
1119,59,65,81
1120,48,52,93
1121,43,61,82
1122,49,58,83
1123,42,59,81
1124,45,64,89
1125,50,70,87
1126,49,66,84
1127,54,65,84
1128,50,69,84
1129,54,69,85
1130,50,65,86
1131,50,61,80
1132,52,63,86
1133,46,65,86
1134,48,59,87
1135,47,64,79
1136,45,57,83
1137,62,73,88
1138,37,61,87
1139,44,56,76
1140,48,64,86
1141,45,61,86
1142,56,57,88
1143,60,62,85
1144,48,71,86
1145,44,62,83
1146,52,63,85
1147,53,61,84
1148,58,70,87
1149,40,53,85
1150,51,61,83
1151,41,57,81
1152,51,74,82
1153,47,58,84
1154,50,64,86
1155,42,65,85
1156,46,63,82
1157,55,65,83
1158,47,58,83
1159,53,62,83
1160,44,58,89
1161,56,67,78
1162,52,63,88
1163,50,62,80
1164,45,57,80
1165,53,74,91
1166,45,59,86
1167,50,60,81
1168,50,55,83
1169,51,61,87
1170,49,62,86
1171,50,67,81
1172,43,59,77
1173,51,62,81
1174,54,69,82
1175,48,63,80
1176,51,61,82
1177,45,61,79
1178,50,61,88
1179,43,74,85
1180,46,58,81
1181,42,44,81
1182,50,65,84
1183,53,68,90
1184,48,67,84
1185,52,66,92
1186,55,67,79
1187,50,62,85
1188,52,69,76
1189,62,62,82
1190,52,64,82
1191,40,50,75
1192,47,59,82
1193,51,62,88
1194,53,72,85
1195,48,59,87
1196,49,60,86
1197,43,60,83
1198,42,46,79
1199,53,64,87
1200,43,58,87
1201,51,68,84
1202,42,66,81
1203,49,60,83
1204,42,53,78
1205,44,62,80
1206,50,67,89
1207,57,75,87
1208,44,55,78
1209,58,71,85
1210,44,65,86
1211,51,63,86
1212,50,67,88
1213,35,65,74
1214,49,65,93
1215,46,58,86
1216,44,66,83
1217,55,61,84
1218,50,71,84
1219,49,61,87
1220,54,75,82
1221,41,59,81
1222,42,58,80
1223,48,72,78
1224,53,73,84
1225,49,59,84
1226,44,58,89
1227,49,55,80
1228,48,57,82
1229,46,59,86
1230,47,62,80
1231,58,64,82
1232,64,76,85
1233,51,69,86
1234,58,68,90
1235,44,65,74
1236,53,65,91
1237,48,53,84
1238,50,61,87
1239,45,59,85
1240,36,56,83
1241,58,73,87
1242,41,55,81
1243,49,60,85
1244,49,62,83
1245,60,64,87
1246,55,71,79
1247,44,65,81
1248,54,67,90
1249,54,74,87
1250,54,62,87
1251,52,69,82
1252,45,61,87
1253,58,65,86
1254,44,57,86
1255,50,64,76
1256,51,68,79
1257,53,71,88
1258,47,63,83
1259,49,68,89
1260,43,57,86
1261,47,61,80
1262,51,68,86
1263,48,53,82
1264,50,65,89
1265,45,65,85
1266,51,71,87
1267,43,61,80
1268,49,65,83
1269,54,67,86
1270,52,75,86
1271,44,62,87
1272,48,74,87
1273,54,59,82
1274,58,72,93
1275,47,67,86
1276,42,65,79
1277,52,64,78
1278,54,65,87
1279,42,58,74
1280,55,53,79
1281,40,53,85
1282,43,63,78
1283,47,64,79
1284,49,66,80
1285,51,61,78
1286,50,64,87
1287,46,66,89
1288,55,74,82
1289,51,61,88
1290,43,58,86
1291,51,59,88
1292,46,58,87
1293,54,67,84
1294,50,56,81
1295,46,52,81
1296,53,71,83
1297,47,68,84
1298,62,63,91
1299,54,74,81
1300,46,57,84
1301,45,61,85
1302,45,71,84
1303,51,59,80
1304,55,67,83
1305,50,57,79
1306,53,67,73
1307,44,54,87
1308,48,58,85
1309,48,53,86
1310,49,61,84
1311,47,60,80
1312,44,56,85
1313,54,77,85
1314,52,68,83
1315,48,56,82
1316,46,56,87
1317,48,57,89
1318,43,62,82
1319,51,66,85
1320,59,69,84
1321,50,63,84
1322,53,64,91
1323,48,59,77
1324,47,59,81
1325,49,59,89
1326,49,71,87
1327,48,60,86
1328,48,63,85
1329,55,72,90
1330,52,64,78
1331,43,60,81
1332,46,62,84
1333,53,77,86
1334,48,55,85
1335,47,66,86
1336,49,64,88
1337,38,56,82
1338,51,75,87
1339,46,63,83
1340,45,54,87
1341,56,69,88
1342,47,57,84
1343,50,62,85
1344,37,53,89
1345,45,63,89
1346,51,64,86
1347,49,63,87
1348,50,58,91
1349,46,63,85
1350,51,65,83
1351,50,68,85
1352,51,64,85
1353,52,59,83
1354,53,61,89
1355,42,52,83
1356,46,65,82
1357,45,62,85
