,a(p(SOS)),a(p(Ras)),a(p(PI3K)),a(p(AKT)),a(p(Raf)),a(p(Mek)),a(p(Erk))
637,53,52,64,48,36,75,90
638,49,45,59,56,38,84,89
639,54,58,66,60,34,79,87
640,50,54,72,60,38,75,92
641,53,50,60,56,37,76,92
642,51,45,72,64,32,77,91
643,47,52,71,67,40,75,87
644,41,47,71,55,38,81,87
645,41,46,64,54,34,78,91
646,38,47,59,53,44,83,87
647,56,48,63,53,32,85,86
648,51,50,69,57,37,74,87
649,42,43,60,62,33,74,92
650,53,51,67,55,31,75,81
651,47,49,68,66,38,87,90
652,45,52,66,50,30,85,90
653,42,48,64,57,34,83,95
654,52,50,64,65,43,81,87
655,46,58,73,49,45,76,87
656,54,39,63,51,31,69,92
657,37,46,62,56,30,79,84
658,39,45,61,50,30,74,90
659,50,48,65,58,39,82,90
660,43,49,70,60,28,74,82
661,49,54,65,60,34,71,93
662,46,49,64,56,29,71,86
663,56,44,63,60,35,69,88
664,40,42,64,50,34,83,89
665,43,49,68,55,47,84,91
666,43,51,56,57,27,80,88
667,44,52,64,52,37,81,91
668,41,57,64,56,37,74,88
669,57,49,70,44,42,79,91
670,49,55,68,64,29,76,87
671,45,48,68,54,26,77,88
672,57,43,61,53,33,75,91
673,53,58,67,46,31,80,90
674,42,45,62,56,38,85,89
675,42,46,67,59,31,83,92
676,51,55,65,64,32,83,83
677,41,44,51,52,37,78,83
678,39,49,64,52,33,75,87
679,47,36,58,61,26,70,91
680,42,52,71,58,30,82,91
681,42,47,60,58,42,85,88
682,52,48,67,59,38,75,87
683,46,47,62,57,34,81,85
684,45,46,67,55,45,80,90
685,43,47,69,61,36,81,84
686,45,43,69,58,32,74,91
687,49,40,70,62,27,72,86
688,40,53,74,49,37,79,92
689,51,42,67,56,36,74,85
690,54,51,66,59,39,72,94
691,48,45,65,64,42,79,93
692,59,55,65,57,38,70,86
693,47,47,58,58,25,73,89
694,41,50,70,58,30,72,89
695,50,48,63,62,41,75,87
696,42,48,62,52,36,79,93
697,42,46,59,57,32,86,86
698,36,49,71,51,30,76,87
699,42,39,66,54,32,75,91
700,48,50,64,52,32,73,91
701,48,40,63,51,42,85,93
702,44,52,53,60,38,77,88
703,42,48,63,53,39,74,88
704,53,62,57,55,39,84,91
705,52,60,68,72,29,86,88
706,42,55,71,63,36,81,87
707,41,52,73,63,32,74,89
708,52,46,64,57,41,82,87
709,51,47,56,51,32,81,91
710,52,41,72,51,38,74,90
711,48,50,62,57,31,74,91
712,45,42,56,58,31,79,91
713,37,43,66,58,40,83,89
714,43,39,65,57,36,76,92
715,37,43,63,52,42,78,87
716,44,53,65,53,40,77,88
717,43,50,72,57,39,82,89
718,41,52,66,57,36,73,87
719,43,46,58,57,31,76,91
720,40,46,57,54,33,83,86
721,46,48,65,58,42,80,94
722,39,39,60,58,28,73,92
723,45,54,67,59,33,75,91
724,46,48,55,48,41,85,91
725,46,46,61,52,36,77,85
726,46,55,66,60,30,76,90
727,39,46,70,65,40,74,87
728,46,52,68,67,29,79,84
729,46,49,66,50,36,82,88
730,33,42,59,56,42,84,93
731,52,54,64,57,41,85,94
732,51,59,63,53,40,74,94
733,37,43,71,63,32,66,88
734,45,55,64,52,37,79,93
735,43,50,64,59,34,89,91
736,40,39,61,53,41,86,83
737,54,48,60,51,43,79,89
738,48,42,59,59,37,71,88
739,41,53,59,53,44,82,88
740,47,51,63,52,32,77,89
741,45,47,58,53,37,75,90
742,49,47,64,49,36,81,89
743,51,46,62,55,32,79,88
744,51,57,81,48,40,83,90
745,43,45,70,70,32,79,91
746,39,44,68,65,30,78,98
747,41,45,65,55,20,67,84
748,45,53,55,58,45,83,83
749,46,42,73,62,28,70,85
750,44,56,67,53,35,80,88
751,44,54,60,61,27,86,92
752,58,53,61,51,38,87,92
753,40,58,72,58,45,84,94
754,38,46,62,52,43,86,87
755,44,45,62,54,41,88,93
756,44,42,59,53,39,80,94
757,46,55,68,54,33,77,92
758,41,38,64,57,28,68,87
759,44,43,71,57,32,75,90
760,48,45,65,54,28,75,87
761,43,40,55,59,30,76,89
762,39,44,64,52,33,72,83
763,42,40,58,59,23,73,83
764,51,48,62,58,42,76,84
765,42,41,62,58,40,82,85
766,44,47,66,49,42,79,90
767,49,48,65,56,33,74,89
768,43,45,71,64,33,76,94
769,44,39,70,64,36,75,85
770,51,50,67,56,38,80,86
771,50,46,60,58,37,77,91
772,44,51,64,45,34,77,93
773,48,42,71,63,30,73,87
774,47,42,58,54,43,82,93
775,49,49,59,60,39,83,91
776,47,53,61,58,43,85,86
777,53,51,60,62,38,83,92
778,57,47,70,45,39,81,88
779,47,56,67,58,40,82,89
780,44,42,61,53,30,78,95
781,44,45,69,59,30,76,88
782,42,32,57,54,34,78,88
783,44,47,68,56,24,81,90
784,47,44,54,51,30,73,89
785,51,53,68,59,36,78,88
786,39,56,61,54,44,76,85
787,54,46,59,47,32,66,83
788,41,47,67,62,38,81,88
789,42,45,70,57,30,75,92
790,53,57,66,59,34,83,91
791,50,54,64,54,33,65,90
792,43,49,59,63,34,71,93
793,47,49,57,53,29,74,86
794,40,44,63,58,35,75,86
795,52,52,67,55,28,79,92
796,39,50,62,47,36,77,89
797,52,47,70,58,42,82,94
798,47,55,70,46,40,78,89
799,55,44,61,42,40,82,90
800,46,50,74,53,37,83,94
801,46,47,69,52,32,74,85
802,47,42,65,50,30,77,92
803,37,50,65,59,39,78,91
