,a(p(Erk))
253,-11.362564086914062
254,-11.71836090087892
255,-6.113243103027344
256,-16.46441650390625
257,-12.886405944824205
258,-6.675125122070298
259,-7.6267242431640625
260,-11.214485168457031
261,-9.212898254394531
262,-5.758476257324219
263,0.10550689697265625
264,-14.053871154785156
265,-8.797149658203125
266,-7.322471618652344
267,-1.5464019775390625
268,-6.6000213623046875
269,-5.179649353027358
270,-12.656585693359375
271,-2.6960906982421875
272,1.4140853881835938
273,-3.1972732543945312
274,-6.7235870361328125
275,-4.5252838134765625
276,-7.1465835571289205
277,-8.007766723632812
278,-8.788848876953125
279,-8.110023498535156
280,-9.908218383789062
281,-2.7800827026367188
282,-11.723907470703125
283,-18.164932250976562
284,-10.982109069824219
285,1.5760574340820312
286,-9.854888916015625
287,-6.488967895507827
288,-4.720909118652344
289,-2.5624160766601562
290,-8.345130920410156
291,-9.839546203613281
292,-8.247566223144531
293,-3.3142013549804688
294,-3.057708740234375
295,-15.454032897949205
296,-0.5337371826171875
297,-2.8159103393554688
298,-3.340240478515625
299,-15.258262634277344
300,-7.01324462890625
301,-9.862777709960938
302,-4.646583557128906
303,-1.3237838745117188
304,-7.991241455078125
305,-4.0029144287109375
306,-9.325950622558594
307,-9.22674560546875
308,-8.553474426269531
309,-6.436256408691406
310,-5.779426574707031
311,-5.6965179443359375
312,-14.28915405273439
313,-0.4027252197265625
314,-8.185012817382812
315,-2.4939956665039062
316,-3.8419723510742188
317,-5.4591064453125
318,-3.4428863525390625
319,-13.749610900878906
320,-16.64105224609375
321,-3.9972457885742188
322,-11.275947570800767
323,-17.505325317382827
324,-5.978340148925781
325,-3.748863220214858
326,1.9333953857421875
327,-9.612052917480469
328,4.422523498535156
329,-16.4625244140625
330,-8.316833496093736
331,-6.796928405761719
332,-3.143585205078125
333,-3.0504302978515625
334,-13.443740844726577
335,-7.76348876953125
336,-5.655120849609375
337,-4.4509429931640625
338,-4.872795104980469
339,-1.0271987915039062
340,-11.505012512207031
341,-13.336654663085938
342,-7.070976257324219
343,0.22522735595703125
344,-5.668891906738281
345,-1.021209716796875
346,-4.705368041992173
347,-8.385574340820312
348,-7.5760345458984375
349,-6.127296447753906
350,-17.66455078125
351,-13.410041809082031
352,-4.622322082519531
353,4.336906433105469
354,-3.3335418701171875
355,-9.692787170410156
356,-15.535820007324219
357,-11.230461120605469
358,-7.766891479492173
359,-8.288764953613281
360,3.1524887084960938
361,-9.654571533203125
362,-9.20709228515625
363,-5.501762390136719
364,-15.764602661132812
365,-10.184761047363281
366,-4.817741394042969
367,-6.086151123046875
368,-7.82269287109375
369,-11.476181030273423
370,-6.9824066162109375
371,-14.666732788085938
372,-8.297622680664062
373,-5.195037841796875
374,-2.5114517211914062
375,-17.76318359375
376,-2.3712081909179688
377,-12.193618774414077
378,-3.6252365112304688
379,-9.526939392089844
380,5.398651123046875
381,-10.133399963378906
382,-8.370086669921875
383,-7.627433776855469
384,-2.7009735107421875
385,-16.442955017089844
386,-14.321006774902344
387,-0.7340927124023438
388,-6.451568603515625
389,-7.737380981445298
390,-6.49981689453125
391,-5.438766479492202
392,-13.2919921875
393,-4.780082702636719
394,-11.356590270996094
395,-2.924896240234375
396,-5.8732452392578125
397,-12.523223876953125
398,-13.758087158203125
399,-4.866355895996094
400,-7.075347900390625
401,-17.727203369140625
402,-0.6552200317382812
403,-3.8884735107421875
404,-4.7201690673828125
405,-8.235237121582031
406,-8.708015441894531
407,-9.115242004394517
408,-14.065765380859375
409,-0.7834930419921875
410,-4.708061218261719
411,-7.751190185546889
412,-8.734062194824219
413,-0.0577392578125
414,-3.8965301513672017
415,-7.577568054199219
416,-6.9759521484375
417,-14.609626770019531
418,-11.280593872070298
419,-7.106697082519531
420,-12.4473876953125
421,-9.640426635742188
422,-6.4084320068359375
423,-10.32623291015625
424,-11.122344970703125
425,-12.045791625976562
426,-2.072662353515625
427,-10.905838012695298
428,-5.4042205810546875
429,-3.676544189453125
430,-2.5102462768554688
431,-3.5870437622070312
432,-13.923309326171875
433,1.6174774169921875
434,-10.959114074707031
435,-2.864837646484375
436,-20.09314727783203
437,-14.415924072265625
438,-1.7492218017578125
439,-3.5101242065429688
440,-3.429046630859375
441,-7.873359680175781
442,-0.27489471435546875
443,-6.116905212402344
444,-8.03607177734375
445,-1.4411163330078125
446,-4.445549011230469
447,-5.478507995605469
448,-0.5093460083007812
449,-1.2269439697265625
450,-5.775390625
451,-9.272712707519531
452,-4.10748291015625
453,-4.0709686279296875
454,-6.789344787597656
455,4.651496887207031
456,-3.4454498291015625
457,-4.530632019042969
458,-13.153915405273438
459,-14.572952270507798
460,-8.813224792480469
461,-8.105575561523438
462,-9.329063415527344
463,-13.871177673339844
464,-9.89963531494142
465,-8.852615356445312
466,2.9788665771484375
467,-13.09011840820314
468,-11.161476135253906
469,-3.33209228515625
470,-15.215492248535156
471,-5.364570617675781
472,-13.435317993164062
473,-5.686279296875
474,-13.435745239257812
475,-13.48828125
476,-7.2793121337890625
477,-5.500679016113281
478,-19.968673706054673
479,-2.1009445190429688
480,-5.274566650390625
481,-16.463523864746094
482,2.6322784423828125
483,-8.89306640625
484,-14.271270751953125
485,-8.822509765625
486,-10.356208801269531
487,-6.899375915527344
488,-9.81005859375
489,-10.301933288574219
490,-12.060531616210923
491,-9.838592529296875
492,-10.968650817871094
493,-4.884376525878906
494,-8.154098510742188
495,-4.181427001953125
496,-3.61419677734375
497,-9.186737060546875
498,-2.4810943603515625
499,-9.10247802734375
500,-9.435478210449219
501,-5.0202789306640625
502,-13.502372741699219
503,-11.809860229492173
504,-10.476806640625
505,-8.671501159667969
506,2.090606689453125
507,-7.4929351806640625
508,-2.1253204345703125
509,-12.293731689453125
510,-13.555122375488281
511,-10.158927917480469
512,-5.996864318847656
513,-8.244461059570312
514,-3.0930099487304688
515,-11.232994079589844
516,-14.981781005859375
517,0.0320281982421875
518,-6.122413635253906
519,-3.3489990234375
520,-4.316474914550781
521,-20.172210693359375
522,-16.215881347656264
523,-14.607284545898438
524,-7.410118103027344
525,-21.125701904296875
526,-7.766914367675781
527,-14.573936462402344
528,-0.506072998046875
529,-3.5719757080078125
530,-17.140480041503906
531,-2.47930908203125
532,-3.85736083984375
533,2.0886077880859375
534,-4.974815368652344
535,-11.413368225097656
536,-9.716232299804688
537,-5.5149078369140625
538,1.1296157836914062
539,-5.410301208496094
540,-11.584991455078125
541,-14.4674072265625
542,-13.416854858398438
543,-12.845405578613281
544,-18.016624450683594
